#produced by /gpfs/fs2/scratch/zzhang65/database/FlyBase/ftp/releases/FB2014_03/dmel_r5.57/gff/generate_exon_strings.pl dsim_r2.02.CDS_exons_of_longest_CDS.tsv CDS_exons_string.longest_CDS.tsv
#seq_name	number_of_first_exon	exon_sizes	cds-start
FBgn0181811	1	232,167	1
FBgn0181814	1	167,94,164,1044,85	1
FBgn0181818	1	86,65,104,480	1
FBgn0181821	1	21,566,175	1
FBgn0181822	1	65,709	1
FBgn0181823	1	204,229,68,156	1
FBgn0181824	1	780	1
FBgn0181826	1	66,93,110,95,129,152,145,251,120	1
FBgn0181829	1	55,344	1
FBgn0181830	1	34,91,204,238,104,153,283,178,1358	1
FBgn0181832	1	759,1722,309,786	1
FBgn0181836	1	299,373,255	1
FBgn0181837	1	27,630,534	1
FBgn0181839	1	172,854,175,167,66,735,1090,383,182,773,180,415,328	1
FBgn0181842	1	16,306,107	1
FBgn0181843	1	653,1021,322,260	1
FBgn0181846	1	178,941	1
FBgn0181850	1	296,303,223,159	1
FBgn0181851	1	277,152,219,180,177,114	1
FBgn0181852	1	101,22	1
FBgn0181853	1	48,275,1636	1
FBgn0181854	1	152,112,303	1
FBgn0181857	1	54,132	1
FBgn0181858	1	1017	1
FBgn0181860	1	526,290,169,187,442	1
FBgn0181866	1	91,1421,489	1
FBgn0181873	1	235,110,151,190,323,146,190,157,58	1
FBgn0181874	1	127,110,151,771,137,190,48,109,58	1
FBgn0181875	1	178,178,284,41	1
FBgn0181876	1	648,231,147	1
FBgn0181878	1	477,1662	1
FBgn0181881	1	40,965,96	1
FBgn0181882	1	40,247,241,207,403,104	1
FBgn0181884	1	421,743	1
FBgn0181885	1	63,60,303,115,253,71,162,113,192,243	1
FBgn0181887	1	39,1257,218,123,179,11	1
FBgn0181888	1	1436,131,231,112,254,294,116	1
FBgn0181889	1	70,305,520,108,99,68	1
FBgn0181897	1	51,189	1
FBgn0181898	1	143,1186,498,123,150	1
FBgn0181902	1	564,117	1
FBgn0181905	1	60,1031,550	1
FBgn0181906	1	415,191	1
FBgn0181909	1	51,1260,759	1
FBgn0181913	1	85,205,154,246,42,131,864,625,153	1
FBgn0181914	1	501	1
FBgn0181915	1	174,190,139,796	1
FBgn0181919	1	456,879	1
FBgn0181923	1	335,226	1
FBgn0181924	1	72,435,708	1
FBgn0181935	1	303	1
FBgn0181944	1	1330,196,208	1
FBgn0181946	1	12,381	1
FBgn0181949	1	681	1
FBgn0181953	1	18,197,277	1
FBgn0181954	1	35,442	1
FBgn0181956	1	43,884,429	1
FBgn0181960	1	45,387	1
FBgn0181963	1	1134	1
FBgn0181965	1	135,86,1286,207,140	1
FBgn0181967	1	1233	1
FBgn0181973	1	42,864	1
FBgn0181976	1	413,451	1
FBgn0181978	1	102,286,409,182,240,308,196,218	1
FBgn0181985	1	56,379,417,141,505,173	1
FBgn0181987	1	156,92,864,376	1
FBgn0181988	1	776,358,78	1
FBgn0181989	1	446,157	1
FBgn0181991	1	76,177,482	1
FBgn0181992	1	918,261	1
FBgn0181993	1	1881	1
FBgn0181999	1	63,152,143,133,110,255,128,101,154,140,199,45	1
FBgn0182004	1	798	1
FBgn0182005	1	49,149,183	1
FBgn0182008	1	14,560,242	1
FBgn0182010	1	145,112,103,225,142,197,125,111,289	1
FBgn0182013	1	150,393	1
FBgn0182014	1	186,183,297	1
FBgn0182015	1	113,118,441,339	1
FBgn0182017	1	50,837,418	1
FBgn0182020	1	297,255,363,837	1
FBgn0182021	1	432,363,993	1
FBgn0182025	1	244,833	1
FBgn0182029	1	219,285,1088,541	1
FBgn0182032	1	351,228,489	1
FBgn0182037	1	72,137,87,114,121	1
FBgn0182042	1	445,271,100,102,108,105	1
FBgn0182044	1	28,887,145,122	1
FBgn0182045	1	223,71	1
FBgn0182046	1	206,508,637,167	1
FBgn0182048	1	695,94	1
FBgn0182049	1	60,174,153,198,75	1
FBgn0182050	1	134,101,181,167,1259,162	1
FBgn0182051	1	60,174,360,159	1
FBgn0182052	1	66,153,186,165	1
FBgn0182053	1	60,192,162,198,72	1
FBgn0182055	1	740,167,170	1
FBgn0182058	1	579,126	1
FBgn0182061	1	237,177,177	1
FBgn0182062	1	246,177,177	1
FBgn0182064	1	852,142,173	1
FBgn0182065	1	25,932,142,176	1
FBgn0182067	1	82,447,141,542,80,114,341,143,115,56	1
FBgn0182070	1	39,139,44	1
FBgn0182071	1	129,88,140	1
FBgn0068665	1	1102,419	1
FBgn0182075	1	936	1
FBgn0182076	1	48,145,94,124	1
FBgn0182081	1	498	1
FBgn0182085	1	130,1105,529	1
FBgn0182086	1	84,468	1
FBgn0182087	1	99,1379,367	1
FBgn0182088	1	630,561	1
FBgn0182089	1	579	1
FBgn0182091	1	46,163,190,172,539,180	1
FBgn0182093	1	85,190,205	1
FBgn0182100	1	130,283,112,940,549,128,114,197,133	1
FBgn0182101	1	501,1014	1
FBgn0182102	1	399	1
FBgn0182104	1	147,109,275	1
FBgn0182106	1	673,515,144,153,1095	1
FBgn0182107	1	140,185,280,67,1985,105,82	1
FBgn0182108	1	335,1327	1
FBgn0182109	1	88,1051,121	1
FBgn0182111	1	330,193,101,375	1
FBgn0182113	1	1102,412,67	1
FBgn0182114	1	1131	1
FBgn0182116	1	76,517,319,691,2294	1
FBgn0182117	1	327,396,2913,248,448	1
FBgn0182118	1	19,137,1074,219	1
FBgn0182120	1	776,358,87	1
FBgn0182121	1	294,138,163,154,276,127,170,71,110	1
FBgn0182122	1	135,530,1435	1
FBgn0182124	1	39,212,217,140,174,257,197,174	1
FBgn0182127	1	100,225,127,1525	1
FBgn0182129	1	3,34,399,21,5	1
FBgn0182133	1	396	1
FBgn0182135	1	181,725	1
FBgn0182143	1	531	1
FBgn0182148	1	82,477,193,214	1
FBgn0182151	1	210,1818	1
FBgn0182152	1	305,361,366	1
FBgn0182155	1	1371	1
FBgn0182156	1	62,97	1
FBgn0182157	1	155,1060,1368,751,318,132,200,264,126,106,122,99,234,147,153,136,51,75,134	1
FBgn0182158	1	714	1
FBgn0182161	1	90,111,759,213,103,275	1
FBgn0182163	1	376,92,836,85,97,410	1
FBgn0182164	1	96,473,424,283,296	1
FBgn0182167	1	130,213,611	1
FBgn0182170	1	456,1101	1
FBgn0084900	1	549	1
FBgn0182171	1	105,756	1
FBgn0182172	1	421,836	1
FBgn0182173	1	1023	1
FBgn0182174	1	617,1294,199,1070,147,780	1
FBgn0182175	1	151,607,514,777,1235,126,338,245,102	1
FBgn0182183	1	300,144,459	1
FBgn0182184	1	7,688,393,547,54	1
FBgn0182185	1	2469	1
FBgn0182187	1	72,399	1
FBgn0182189	1	136,317,467,73	1
FBgn0182190	1	108,182,117,208	1
FBgn0182191	1	46,160,337,99	1
FBgn0182192	1	26,140,508,941,179,357,486	1
FBgn0182193	1	126,254,881,476	1
FBgn0182196	1	63,437,394	1
FBgn0182200	1	154,302,73,1193,607,167	1
FBgn0182201	1	876,142,194	1
FBgn0182203	1	13,845,142,119	1
FBgn0182206	1	40,180,607,115	1
FBgn0182208	1	314,282,100,192,225,234	1
FBgn0182211	1	720	1
FBgn0182212	1	60,192,162,195,72	1
FBgn0182213	1	252,165,252	1
FBgn0182214	1	60,192,447	1
FBgn0182215	1	60,363,192,72	1
FBgn0182217	1	60,165,177,174,81	1
FBgn0182219	1	60,183,366,81	1
FBgn0182221	1	66,162,363,93	1
FBgn0182222	1	60,159,162,195,72	1
FBgn0182223	1	60,159,156,207,72	1
FBgn0182225	1	60,174,156,198,72	1
FBgn0182226	1	60,168,153,183,72	1
FBgn0182230	1	19,884,145,125	1
FBgn0182232	1	1107,1014	1
FBgn0182233	1	2154	1
FBgn0182242	1	53,794,474,264,123,354,128	1
FBgn0182243	1	76,605	1
FBgn0182250	1	190,1805	1
FBgn0182251	1	302,259	1
FBgn0182252	1	58,469,308,159,173	1
FBgn0182254	1	1314	1
FBgn0182257	1	164,559,131,215,215,731,769	1
FBgn0182259	1	120,285	1
FBgn0182269	1	86,264,417,217	1
FBgn0182270	1	143,264,417,217	1
FBgn0182271	1	80,264,157,260,229	1
FBgn0182274	1	108,104,196	1
FBgn0182275	1	129,98,132,342,200,158	1
FBgn0182276	1	129,98,132,342,200,158	1
FBgn0182279	1	103,80,136,116	1
FBgn0182283	1	42,1272,216	1
FBgn0182285	1	96,157,266	1
FBgn0182287	1	876,1047,402	1
FBgn0182300	1	588,651	1
FBgn0182301	1	111,438,209,307	1
FBgn0182308	1	93,105,161,595,213,103,254	1
FBgn0182309	1	15,284,601,322,254	1
FBgn0182313	1	906,1371	1
FBgn0182314	1	226,1181,339	1
FBgn0182315	1	551,472	1
FBgn0182316	1	111,402,134,43	1
FBgn0182317	1	93,825,733,544,154	1
FBgn0182319	1	817,1178	1
FBgn0182324	1	264	1
FBgn0182325	1	381	1
FBgn0182330	1	12,327	1
FBgn0182340	1	1143,596,67	1
FBgn0182341	1	1101,455,144,67	1
FBgn0182349	1	124,89,133,71	1
FBgn0182353	1	50,475	1
FBgn0182354	1	2043	1
FBgn0182360	1	558	1
FBgn0182361	1	816	1
FBgn0182363	1	504,876	1
FBgn0067515	1	558	1
FBgn0068645	1	555	1
FBgn0182369	1	999	1
FBgn0182372	1	1110	1
FBgn0182375	1	36,922,185	1
FBgn0182377	1	234	1
FBgn0182383	1	342	1
FBgn0182386	1	100,65	1
FBgn0182388	1	259,86,151,173	1
FBgn0182392	1	54,196,202,765,328,181,86	1
FBgn0182394	1	76,542,167,359,154,286	1
FBgn0182395	1	93,212,193,596,78,415,183,185,789,432,175,188,163	1
FBgn0182397	1	61,437	1
FBgn0182398	1	45,733,92,277,215	1
FBgn0182400	1	95,49,537	1
FBgn0182401	1	194,172,1212	1
FBgn0182404	1	993	1
FBgn0182405	1	205,113,151,184,187,136,327,157,64	1
FBgn0182408	1	251,515,245	1
FBgn0182410	1	829,251,360	1
FBgn0182411	1	86,103,262,689	1
FBgn0182418	1	184,61,86,309,209,1529,461,266,930,36	1
FBgn0182419	1	663	1
FBgn0182420	1	301,152,225,180,177,18	1
