#produced by /gpfs/fs2/scratch/zzhang65/database/FlyBase/ftp/releases/FB2014_03/dmel_r5.57/gff/generate_exon_strings.pl dyak_r1.3.CDS_exons_of_longest_CDS.tsv CDS_exons_string.longest_CDS.tsv
#seq_name	number_of_first_exon	exon_sizes	cds-start
FBgn0227921	1	1165,2575,310	1
FBgn0227922	1	108,729	1
FBgn0227923	1	906	1
FBgn0227924	1	94,281,423,265,198,479	1
FBgn0227925	1	216,201	1
FBgn0227926	1	243	1
FBgn0227927	1	870	1
FBgn0227928	1	207,172,971	1
FBgn0227929	1	198,166,769,409	1
FBgn0068340	1	891	1
FBgn0227930	1	210,166,775,418	1
FBgn0227931	1	914,913,2106	1
FBgn0227932	1	213,166,712,424	1
FBgn0227933	1	282,106,180,130,246,541	1
FBgn0227934	1	2583	1
FBgn0227935	1	2544	1
FBgn0227936	1	795	1
FBgn0227937	1	192	1
FBgn0227938	1	506,250,1777,554	1
FBgn0227939	1	9,447	1
FBgn0227940	1	173,166,89,358	1
FBgn0227941	1	356,623,91,188,164	1
FBgn0227942	1	453	1
FBgn0227943	1	111,180,1204,149,344,202	1
FBgn0227944	1	346,641	1
FBgn0227945	1	87,1310,520	1
FBgn0227946	1	859,218,159,63	1
FBgn0227947	1	309	1
FBgn0227948	1	64,36,47,414	1
FBgn0227949	1	246	1
FBgn0227950	1	106,62,108,99	1
FBgn0227951	1	1338	1
FBgn0227952	1	23,151,122,162,296,179,143,145	1
FBgn0227955	1	64,161	1
FBgn0227956	1	55,347,146,308,1064,1017,51,600,599,784,276,263,343,75	1
FBgn0227957	1	373,380	1
FBgn0227958	1	253,125,171,182,501,259	1
FBgn0227959	1	33,300,827,270,313,258,303	1
FBgn0227960	1	1278	1
FBgn0227961	1	540,813	1
FBgn0227962	1	373,132,145,146,710,288	1
FBgn0227963	1	177,15	1
FBgn0227964	1	1126,293,388,323	1
FBgn0227965	1	321,309,108,166,129,134,157,211,102,235,1098,45,36,261,30,234,306	1
FBgn0227966	1	55,104,321,966,1010,1571,1594,125,83,93	1
FBgn0227967	1	886,894,839,153,404,214,201,369,120	1
FBgn0227968	1	177	1
FBgn0227969	1	202,147,734,97,161	1
FBgn0227970	1	166,180,512,223,211,2167	1
FBgn0227971	1	100,3386,125,169	1
FBgn0227972	1	94,2318,823,1238	1
FBgn0227973	1	306	1
FBgn0227974	1	87,145,449	1
FBgn0227975	1	300,278,207,97,331,263	1
FBgn0227976	1	190,485,355,152	1
FBgn0227977	1	196,485,367,200	1
FBgn0227978	1	337,515,560,200,491,367,188	1
FBgn0227979	1	295,515,560,245,491,367,191	1
FBgn0227980	1	276,321	1
FBgn0227981	1	132,413,907,582,777	1
FBgn0227982	1	804	1
FBgn0227983	1	357,707,220,269,162,196,87,177	1
FBgn0227984	1	111,321,216	1
FBgn0227985	1	123,644,135,220	1
FBgn0227986	1	213	1
FBgn0227987	1	44,134,33,261,18,414,140	1
FBgn0227988	1	743,454,2541	1
FBgn0227989	1	778,1937	1
FBgn0227990	1	70,272,51	1
FBgn0227991	1	326,628	1
FBgn0227992	1	326,628	1
FBgn0227993	1	200,628	1
FBgn0227994	1	819	1
FBgn0227995	1	709,125	1
FBgn0227996	1	1932	1
FBgn0227997	1	705	1
FBgn0227998	1	150,180,132	1
FBgn0227999	1	312,531	1
FBgn0228000	1	483	1
FBgn0228001	1	330	1
FBgn0228002	1	687	1
FBgn0228003	1	708	1
FBgn0228004	1	156	1
FBgn0228005	1	309	1
FBgn0228006	1	139,522,154,675,538	1
FBgn0067931	1	981	1
FBgn0228007	1	984,290,118	1
FBgn0228008	1	1398	1
FBgn0228009	1	693	1
FBgn0228010	1	1191	1
FBgn0228011	1	175,153,105,179	1
FBgn0228012	1	643,62	1
FBgn0228013	1	420	1
FBgn0228014	1	429	1
FBgn0228015	1	453	1
FBgn0228016	1	1076,454,693	1
FBgn0228017	1	93,296,419,407	1
FBgn0228018	1	364,171,137,146,239,411,101,362,142	1
FBgn0228019	1	49,72,208,130,90	1
FBgn0228020	1	79,64,191,77,135,63,147,224,236,474,80	1
FBgn0228021	1	597	1
FBgn0228022	1	33,213,327,108	1
FBgn0228023	1	114,130,1021,94	1
FBgn0228024	1	31,64,808,1296	1
FBgn0068418	1	21,241,356	1
FBgn0228025	1	4203	1
FBgn0228026	1	774	1
FBgn0228027	1	774	1
FBgn0228028	1	213	1
FBgn0228029	1	170,259	1
FBgn0228030	1	1320	1
FBgn0228031	1	279,1250,154,549,90	1
FBgn0228032	1	170,267,445	1
FBgn0228033	1	282,270,152,98,127,234,212,1031	1
FBgn0228034	1	2846,334,100,173,324	1
FBgn0228035	1	120,120	1
FBgn0228036	1	132,459,90	1
FBgn0228037	1	81,749,189,888,143,593,570,1032	1
FBgn0228038	1	735,165	1
FBgn0228039	1	74,904	1
FBgn0068335	1	348,273,84,168	1
FBgn0228040	1	1128,789	1
FBgn0068493	1	89,373,132	1
FBgn0228042	1	305,269,644,475,326	1
FBgn0228043	1	1049,157,303	1
FBgn0228044	1	1344	1
FBgn0228045	1	156,147,469,148,1951	1
FBgn0228046	1	112,48,390,452	1
FBgn0228047	1	39,552,36,510	1
FBgn0228048	1	27,460,99,449	1
FBgn0228049	1	9,432	1
FBgn0228050	1	194,205,279	1
FBgn0228051	1	27,109,171,186,245,765	1
FBgn0228052	1	145,414,917	1
FBgn0228053	1	732	1
FBgn0228054	1	1230	1
FBgn0228055	1	163,233	1
FBgn0228056	1	1011	1
FBgn0228057	1	51,330,348	1
FBgn0228058	1	54,82,206,33	1
FBgn0228059	1	211,339,417,153,1070	1
FBgn0228060	1	250,284,179,553,335,118	1
FBgn0228061	1	391,123,413	1
FBgn0228062	1	418,170,897	1
FBgn0228063	1	658,114,162,451,211	1
FBgn0228064	1	353,147,140,533	1
FBgn0228065	1	90,176,601	1
FBgn0228066	1	319,290	1
FBgn0228067	1	219,720	1
FBgn0228068	1	867	1
FBgn0228069	1	468,357	1
FBgn0228070	1	135,256,311	1
FBgn0068285	1	148,425	1
FBgn0228071	1	460,578,394,152,288	1
FBgn0228072	1	481,416	1
FBgn0228073	1	601,377	1
FBgn0228074	1	271,371	1
FBgn0228075	1	242,206,359	1
FBgn0068481	1	319,153,173	1
FBgn0228076	1	318	1
FBgn0228077	1	309	1
FBgn0228078	1	46,152	1
FBgn0228079	1	480	1
FBgn0228080	1	133,161,572,333,268,147,387	1
FBgn0228081	1	655,234,257,179,354,199,111,179,142	1
FBgn0228082	1	442,479	1
FBgn0068411	1	201,277,182,141	1
FBgn0068412	1	406,440	1
FBgn0228083	1	165,501	1
FBgn0228084	1	81,483	1
FBgn0228085	1	129,480	1
FBgn0228086	1	1311	1
FBgn0228087	1	625,212	1
FBgn0228088	1	160,155,166,591,740,219,84	1
FBgn0228089	1	501	1
FBgn0228090	1	1875	1
FBgn0228091	1	207,395,863,194	1
FBgn0228092	1	24,923,582,202	1
FBgn0228093	1	111,173,95,194,193,357,148,343	1
FBgn0228094	1	279,584,176,3621,216,480,167	1
FBgn0228095	1	40,1040	1
FBgn0228096	1	144,617,135,271	1
FBgn0228097	1	2172	1
FBgn0228098	1	23,89,230,454,959,759,726	1
FBgn0228099	1	990	1
FBgn0228100	1	138,97,154,226,477,213,225	1
FBgn0228101	1	35,937	1
FBgn0228102	1	42,129,314,97	1
FBgn0228103	1	42,129,314,97	1
FBgn0228104	1	251,85,126	1
FBgn0228105	1	222	1
