#produced by ./generate_exon_strings.pl dmel_r5.57.CDS_exons_of_longest_CDS.tsv CDS_exons_string.longest_CDS.tsv
#seq_name	number_of_first_exon	exon_sizes	cds-start
FBgn0000008	1	775,213,1474,1208,171,118,31	1
FBgn0000014	1	869,257,48,224,375	1
FBgn0000015	1	661,212,202,215,192	1
FBgn0000017	1	334,54,544,416,587,271,121,344,2501	1
FBgn0000018	1	945,675	1
FBgn0000022	1	606	1
FBgn0000024	1	323,139,546,208,143,150,164,164,113	1
FBgn0000028	1	126,33,57,177,199,141,232,164,62	1
FBgn0000032	1	210,99,690,259,110	1
FBgn0000036	1	192,45,110,181,461,212,296,207	1
FBgn0000037	1	956,184,188,1090	1
FBgn0000038	1	64,137,155,445,600,165	1
FBgn0000039	1	252,155,181,160,586,202,195	1
FBgn0000043	1	1131	1
FBgn0000052	1	1090,2277,698	1
FBgn0000053	1	177,248,650,226,422,1050,1289	1
FBgn0000054	1	1,189,294,305	1
FBgn0000057	1	748,1139	1
FBgn0000061	1	344,46,269,568	1
FBgn0000063	1	197,1008,556,258	1
FBgn0000064	1	796,200,96	1
FBgn0000071	1	17,1009	1
FBgn0000075	1	80,235,1218	1
FBgn0000077	1	855	1
FBgn0000083	1	30,709,182,54	1
FBgn0000092	1	88,493,202	1
FBgn0000094	1	96,78	1
FBgn0000097	1	1180,778,241	1
FBgn0000099	1	39,212,217,140,174,257,197,174	1
FBgn0000100	1	54,900	1
FBgn0000108	1	78,171,139,219,644,141,150,683,145,195,108	1
FBgn0000109	1	95,238,216	1
FBgn0000114	1	701,494,83,49,182,298,207,150,269	1
FBgn0000115	1	4,217,322	1
FBgn0000116	1	44,561,1084	1
FBgn0000117	1	31,1640,201,273,97,290	1
FBgn0000119	1	193,2990,158,270,625,801	1
FBgn0000120	1	109,808,130,48	1
FBgn0000121	1	856,195,155	1
FBgn0000137	1	1461	1
FBgn0000139	1	116,185,345,381,281,258,105	1
FBgn0000140	1	15,177,213,4882,302,276	1
FBgn0000146	1	96,133,494,193,128,155,390,111,901	1
FBgn0000147	1	114,301,821	1
FBgn0000150	1	174,333	1
FBgn0000152	1	19,149,107,271,213,971,177,34	1
FBgn0000153	1	762,368,598	1
FBgn0000157	1	131,176,194,322,221	1
FBgn0000163	1	183,1695,623,282,674,505,105,496	1
FBgn0000173	1	456	1
FBgn0000179	1	1064,114,163,147,77,254,1106	1
FBgn0000180	1	197,167,127,208,1392	1
FBgn0000181	1	510	1
FBgn0000183	1	228,366,138,851,218,255,175,118	1
FBgn0000206	1	52,471,450,1460,258	1
FBgn0000210	1	186,189,454,274,140,51,1349	1
FBgn0000212	1	241,77,24,2938,792,857	1
FBgn0000216	1	246	1
FBgn0000221	1	978	1
FBgn0000227	1	3,1089	1
FBgn0000228	1	256,245,220,81,1762,430,112,251	1
FBgn0000229	1	116,130,198,265,284,126	1
FBgn0000233	1	734,1201	1
FBgn0000239	1	90,305,301,97,370,193,402,192,102	1
FBgn0000244	1	2163	1
FBgn0000246	1	509,223,183,393,513,75,237,102	1
FBgn0000247	1	268,602,538,533,311,543,304,228,133,116,170,82,234,453,1371	1
FBgn0000250	1	695,178,211,89,258,72	1
FBgn0000251	1	802,54,482	1
FBgn0000253	1	3,175,243,29	1
FBgn0000256	1	328,816,483,173,853,1011,304,118	1
FBgn0000257	1	1443,411	1
FBgn0000259	1	72,103,192,190,82,69	1
FBgn0000261	1	57,921,543	1
FBgn0000273	1	1062	1
FBgn0000274	1	177,230,166,278,214	1
FBgn0000278	1	99,93	1
FBgn0000279	1	99,93	1
FBgn0000283	1	402,1000,941,948	1
FBgn0000286	1	1178,179,176	1
FBgn0000287	1	2596,161,262,233,198,354	1
FBgn0000289	1	126,137,80,303,197,103,325,165,148,143,619,168	1
FBgn0000299	1	20,49,948,497,1451,969,1145,261	1
FBgn0000308	1	111,172,98	1
FBgn0000313	1	3,237,714,176,135,229,610,131,257,142,359,424,242,187,102	1
FBgn0000317	1	18,261,350,201,2395,1451,787,566,147,121,207	1
FBgn0000318	1	145,82,154	1
FBgn0000319	1	42,208,4302,167,87,231	1
FBgn0000320	1	72,47,1755,245,182	1
FBgn0000326	1	57,126,224,1282	1
FBgn0000330	1	35,88,326,160,453,186	1
FBgn0000337	1	114,1044,186	1
FBgn0000339	1	150,113,144,28	1
FBgn0000346	1	9,89,219,1629,159,133	1
FBgn0000351	1	120,132,415,372,150,263	1
FBgn0000352	1	652,712,419,1823	1
FBgn0000355	1	12,336	1
FBgn0000356	1	331,86	1
FBgn0000357	1	15,504	1
FBgn0000358	1	15,507	1
FBgn0000359	1	48,807	1
FBgn0000360	1	45,876	1
FBgn0000370	1	169,111,293,573	1
FBgn0000376	1	541,204,1577,373,152,102	1
FBgn0000377	1	36,2073	1
FBgn0000382	1	629,163,180,118,938,91,190,529	1
FBgn0000394	1	220,213,145,196	1
FBgn0000395	1	181,89,94,183,213,1496	1
FBgn0000404	1	195,194,256,224,205,248,154	1
FBgn0000405	1	36,146,209,905,297	1
FBgn0000406	1	414,383,514	1
FBgn0000409	1	327	1
FBgn0000411	1	1149	1
FBgn0000412	1	415,653	1
FBgn0000413	1	2133	1
FBgn0000414	1	109,71,597,607,234,2995,104,744,130,1084	1
FBgn0000416	1	49,79,283,1828,476,142,5	1
FBgn0000422	1	99,86,1348	1
FBgn0000426	1	267	1
FBgn0000439	1	787,101,178,380,315	1
FBgn0000442	1	141,371,1446,186,163	1
